exercise_id,name,category,difficulty,duration_min,calories_burn_est,equipment,description
41,Exercise_41_pull,Chest,Advanced,30,1403,resistance band,jump hold row press hold squat press press
42,Exercise_42_run,Full Body,Advanced,98,1130,bodyweight,hold press squat hold push press press push
43,Exercise_43_jump,Chest,Advanced,91,298,dumbbell,push lift run run crunch run pull hold
44,Exercise_44_pull,Core,Intermediate,30,1308,dumbbell,press press jump squat pull row run push
45,Exercise_45_press,Legs,Advanced,61,68,bodyweight,lift push crunch curl squat row curl push
46,Exercise_46_pull,Back,Advanced,43,1401,bodyweight,pull curl run press push lift lift row
47,Exercise_47_lift,Cardio,Intermediate,61,429,none,press curl run lift jump jump pull pull
48,Exercise_48_push,Chest,Intermediate,78,1270,barbell,hold press run pull squat row hold press
49,Exercise_49_row,Core,Beginner,28,474,barbell,pull pull row push push run push push
50,Exercise_50_curl,Full Body,Advanced,32,853,bodyweight,crunch lift crunch squat push press row curl
51,Exercise_51_run,Back,Advanced,88,406,barbell,crunch jump curl hold push run lift crunch
52,Exercise_52_crunch,Cardio,Advanced,118,704,none,hold lift press curl curl row curl row
53,Exercise_53_curl,Chest,Intermediate,82,71,machine,jump row squat push crunch press curl run
54,Exercise_54_jump,Cardio,Beginner,117,852,none,crunch lift row push push curl pull crunch
55,Exercise_55_curl,Shoulders,Intermediate,42,727,bodyweight,lift pull press lift pull press pull curl
56,Exercise_56_curl,Legs,Beginner,60,1320,barbell,row run crunch hold crunch jump squat press
57,Exercise_57_pull,Shoulders,Intermediate,56,1139,kettlebell,squat squat press pull push jump run run
58,Exercise_58_pull,Back,Beginner,96,118,bodyweight,jump push hold press lift lift curl hold
59,Exercise_59_row,Back,Advanced,5,1086,kettlebell,press press crunch crunch pull press press row
60,Exercise_60_run,Arms,Advanced,17,241,bodyweight,press pull lift curl crunch press run squat
61,Exercise_61_run,Arms,Intermediate,97,1191,barbell,lift curl crunch jump squat lift row jump
62,Exercise_62_lift,Arms,Beginner,53,672,dumbbell,press squat curl hold squat push crunch hold
63,Exercise_63_curl,Back,Advanced,110,1498,barbell,lift lift curl curl run lift row run
64,Exercise_64_pull,Chest,Advanced,25,1499,barbell,run squat jump squat press hold curl push
65,Exercise_65_curl,Cardio,Advanced,80,1430,resistance band,lift run push squat jump jump crunch row
66,Exercise_66_row,Shoulders,Advanced,81,1102,bodyweight,crunch press curl run hold squat pull squat
67,Exercise_67_row,Core,Advanced,108,237,none,curl press squat push curl press run hold
68,Exercise_68_hold,Full Body,Intermediate,108,74,bodyweight,jump pull push hold hold crunch hold push
69,Exercise_69_lift,Arms,Beginner,30,1236,resistance band,press row jump row pull press crunch pull
70,Exercise_70_row,Shoulders,Intermediate,13,1016,bodyweight,pull press press jump pull curl push lift
71,Exercise_71_press,Back,Beginner,108,974,machine,hold press curl hold push lift press lift
72,Exercise_72_run,Core,Beginner,81,1340,barbell,curl press jump squat hold push squat squat
73,Exercise_73_lift,Arms,Intermediate,8,1265,dumbbell,push push press push pull press lift run
74,Exercise_74_crunch,Arms,Advanced,87,425,bodyweight,press press jump lift row press hold push
75,Exercise_75_squat,Chest,Beginner,18,128,dumbbell,push squat crunch run curl push push jump
76,Exercise_76_row,Full Body,Beginner,80,814,barbell,squat press hold lift lift crunch row crunch
77,Exercise_77_push,Legs,Beginner,79,1381,kettlebell,push press crunch curl pull curl jump press
78,Exercise_78_row,Arms,Advanced,12,420,dumbbell,row crunch jump squat run push lift row
79,Exercise_79_curl,Arms,Beginner,13,1048,none,squat push press row pull run run row
80,Exercise_80_push,Full Body,Advanced,38,11,barbell,run pull pull press crunch press run crunch
81,Exercise_81_push,Cardio,Intermediate,28,1170,resistance band,crunch press push squat jump lift lift squat
82,Exercise_82_row,Arms,Intermediate,104,952,kettlebell,jump crunch push squat push pull lift push
83,Exercise_83_curl,Arms,Intermediate,38,903,machine,lift push lift run hold jump push curl
84,Exercise_84_push,Back,Beginner,74,221,resistance band,pull press push lift squat lift curl curl
85,Exercise_85_push,Full Body,Advanced,9,437,machine,push squat run press run press lift run
86,Exercise_86_press,Legs,Intermediate,67,796,resistance band,squat lift crunch squat pull row jump crunch
87,Exercise_87_squat,Back,Advanced,17,1032,kettlebell,curl hold curl squat pull run curl pull
88,Exercise_88_pull,Legs,Intermediate,38,1324,machine,lift jump row hold pull pull hold press
89,Exercise_89_press,Arms,Intermediate,27,987,kettlebell,press curl run squat push lift crunch crunch
90,Exercise_90_push,Shoulders,Intermediate,23,1470,machine,run run run press row pull run run
91,Exercise_91_row,Full Body,Advanced,49,741,resistance band,row squat crunch run hold run push squat
92,Exercise_92_press,Back,Advanced,25,402,none,crunch row press crunch pull run crunch pull
93,Exercise_93_run,Back,Intermediate,85,648,dumbbell,lift curl crunch hold press press squat curl
94,Exercise_94_curl,Chest,Intermediate,36,1453,machine,press push pull row row run curl curl
95,Exercise_95_run,Arms,Beginner,101,986,machine,hold jump hold hold press lift row hold
96,Exercise_96_run,Chest,Beginner,94,751,barbell,hold press push row row press push press
97,Exercise_97_press,Back,Intermediate,66,741,dumbbell,curl crunch pull row press hold row lift
98,Exercise_98_hold,Core,Beginner,10,232,resistance band,crunch pull press jump pull crunch push press
99,Exercise_99_hold,Shoulders,Intermediate,70,1332,barbell,press row push squat curl push press squat
100,Exercise_100_row,Arms,Beginner,73,1346,machine,jump jump run crunch press curl squat lift
101,Exercise_101_pull,Full Body,Intermediate,91,424,machine,crunch crunch lift run hold row press curl
102,Exercise_102_lift,Core,Beginner,33,115,bodyweight,row curl press jump jump press press squat
103,Exercise_103_run,Shoulders,Beginner,115,268,dumbbell,hold pull curl hold push hold row jump
104,Exercise_104_run,Arms,Beginner,70,1318,resistance band,run press curl crunch press pull press run
105,Exercise_105_press,Arms,Advanced,32,1067,resistance band,crunch lift curl hold press curl press row
106,Exercise_106_pull,Legs,Intermediate,59,277,dumbbell,press press crunch run curl jump row row
107,Exercise_107_jump,Back,Intermediate,110,1357,resistance band,squat crunch run crunch press hold lift press
108,Exercise_108_pull,Legs,Intermediate,115,117,bodyweight,lift press jump squat jump push press press
109,Exercise_109_run,Full Body,Intermediate,49,869,bodyweight,row jump lift jump pull jump crunch hold
110,Exercise_110_jump,Shoulders,Advanced,60,1282,kettlebell,push squat squat jump pull crunch press press
111,Exercise_111_run,Core,Intermediate,29,727,machine,press press lift run lift squat press run
112,Exercise_112_jump,Arms,Intermediate,55,780,dumbbell,pull pull squat crunch pull jump run run
113,Exercise_113_lift,Core,Intermediate,68,818,dumbbell,press run lift hold squat press row press
114,Exercise_114_jump,Cardio,Beginner,7,79,none,crunch squat squat hold lift pull push squat
115,Exercise_115_lift,Full Body,Advanced,64,1168,barbell,hold row pull press run row squat crunch
116,Exercise_116_jump,Legs,Beginner,73,259,none,run push run curl pull row press press
117,Exercise_117_hold,Core,Beginner,1,1101,machine,pull press push hold push press push squat
118,Exercise_118_pull,Legs,Beginner,8,933,none,push row lift press jump run pull run
119,Exercise_119_jump,Cardio,Intermediate,30,1306,barbell,jump push crunch jump press crunch hold press
120,Exercise_120_lift,Shoulders,Beginner,44,939,barbell,press hold crunch run crunch press crunch curl
121,Exercise_121_curl,Core,Beginner,41,376,kettlebell,row push push row jump press press lift
122,Exercise_122_lift,Chest,Intermediate,32,1007,kettlebell,crunch squat hold jump curl jump push hold
123,Exercise_123_push,Cardio,Intermediate,4,396,barbell,row pull squat squat press curl pull press
124,Exercise_124_curl,Arms,Advanced,92,241,barbell,press pull hold row press run squat lift
125,Exercise_125_jump,Back,Intermediate,17,748,machine,squat push hold press press squat jump lift
126,Exercise_126_press,Back,Advanced,53,1297,bodyweight,lift hold run row press push squat run
127,Exercise_127_row,Chest,Advanced,103,1223,bodyweight,press hold run lift press jump curl press
128,Exercise_128_row,Back,Beginner,46,1322,none,jump squat squat jump press press pull crunch
129,Exercise_129_press,Full Body,Intermediate,87,736,barbell,row push squat curl jump pull pull jump
130,Exercise_130_pull,Back,Intermediate,91,1450,none,run crunch run press press jump lift squat
131,Exercise_131_crunch,Arms,Advanced,113,519,bodyweight,press hold press curl row jump push jump
132,Exercise_132_lift,Chest,Beginner,13,828,machine,curl crunch press crunch curl pull crunch jump
133,Exercise_133_pull,Full Body,Advanced,24,623,resistance band,lift squat pull run hold crunch row squat
134,Exercise_134_pull,Arms,Advanced,23,1185,none,press push squat row row run jump push
135,Exercise_135_run,Legs,Beginner,82,486,none,hold run run press jump pull push pull
136,Exercise_136_hold,Cardio,Advanced,6,922,dumbbell,pull run curl push push row crunch hold
137,Exercise_137_push,Core,Beginner,55,122,barbell,hold squat crunch run curl jump push squat
138,Exercise_138_lift,Shoulders,Advanced,6,170,machine,push run curl press lift curl squat curl
139,Exercise_139_press,Chest,Advanced,9,1001,kettlebell,curl jump curl press crunch jump jump row
140,Exercise_140_push,Full Body,Intermediate,105,889,machine,lift lift curl press jump press hold lift
141,Exercise_141_pull,Core,Intermediate,11,18,resistance band,press crunch curl row squat pull lift jump
142,Exercise_142_hold,Chest,Intermediate,105,1491,none,press press push pull hold press hold curl
143,Exercise_143_curl,Cardio,Advanced,71,1192,none,pull run press press pull hold row hold
144,Exercise_144_pull,Cardio,Beginner,51,228,machine,push push lift run push press crunch crunch
145,Exercise_145_jump,Back,Intermediate,17,1182,kettlebell,press press lift row curl lift lift hold
146,Exercise_146_curl,Legs,Intermediate,70,796,dumbbell,press hold run curl pull push jump crunch
147,Exercise_147_row,Arms,Beginner,53,807,bodyweight,lift curl jump push run press run row
148,Exercise_148_curl,Full Body,Advanced,51,913,bodyweight,jump row crunch press crunch pull jump curl
149,Exercise_149_crunch,Shoulders,Beginner,75,83,bodyweight,crunch squat squat lift squat lift push squat
150,Exercise_150_press,Arms,Beginner,59,1401,bodyweight,crunch lift row pull press hold pull press
151,Exercise_151_press,Full Body,Advanced,66,302,machine,pull row curl press squat crunch pull squat
152,Exercise_152_crunch,Arms,Advanced,20,1298,kettlebell,lift pull run pull lift jump pull press
153,Exercise_153_pull,Chest,Beginner,61,1252,kettlebell,press curl crunch crunch row lift jump curl
154,Exercise_154_curl,Full Body,Intermediate,111,76,machine,crunch curl press lift jump push press squat
155,Exercise_155_hold,Chest,Beginner,29,154,none,press press squat hold push push press press
156,Exercise_156_row,Chest,Beginner,110,1191,bodyweight,push press jump press curl hold press lift
157,Exercise_157_hold,Legs,Intermediate,47,1014,machine,press hold crunch hold pull run run crunch
158,Exercise_158_curl,Arms,Advanced,88,1366,bodyweight,run press push push run press curl pull
159,Exercise_159_press,Shoulders,Intermediate,65,1016,kettlebell,lift lift push hold row crunch push push
160,Exercise_160_hold,Shoulders,Intermediate,107,450,resistance band,push press jump hold squat hold push press
161,Exercise_161_jump,Legs,Advanced,103,43,resistance band,crunch run pull curl run lift jump push
162,Exercise_162_push,Legs,Intermediate,117,1137,machine,lift row press squat squat pull lift hold
163,Exercise_163_curl,Arms,Advanced,4,1481,resistance band,squat run jump crunch push jump jump push
164,Exercise_164_curl,Chest,Beginner,49,503,dumbbell,hold lift press run press squat squat press
165,Exercise_165_curl,Full Body,Beginner,113,719,bodyweight,squat hold press press press lift curl press
166,Exercise_166_hold,Legs,Advanced,94,1019,dumbbell,press press curl press curl jump hold hold
167,Exercise_167_push,Cardio,Intermediate,39,351,kettlebell,hold pull lift hold press pull crunch crunch
168,Exercise_168_press,Full Body,Beginner,93,211,none,curl squat crunch pull pull curl push press
169,Exercise_169_squat,Cardio,Intermediate,66,1232,kettlebell,pull hold crunch lift pull hold jump row
170,Exercise_170_squat,Core,Intermediate,5,475,barbell,squat run run press jump hold hold squat
171,Exercise_171_curl,Full Body,Advanced,29,74,machine,jump curl hold crunch lift run curl pull
172,Exercise_172_squat,Full Body,Intermediate,93,940,kettlebell,jump pull squat squat pull press press crunch
173,Exercise_173_jump,Chest,Intermediate,33,862,barbell,press lift curl squat curl squat press squat
174,Exercise_174_curl,Legs,Intermediate,65,666,dumbbell,jump jump lift press lift squat row curl
175,Exercise_175_run,Arms,Intermediate,11,180,none,press run pull hold lift run crunch pull
176,Exercise_176_pull,Cardio,Advanced,80,219,bodyweight,row press lift crunch press curl press hold
177,Exercise_177_lift,Legs,Advanced,101,1112,resistance band,hold press press press run pull push curl
178,Exercise_178_curl,Cardio,Beginner,10,192,resistance band,push push lift press press run lift squat
179,Exercise_179_hold,Shoulders,Intermediate,100,245,bodyweight,push jump press pull press jump crunch push
180,Exercise_180_row,Arms,Advanced,14,828,none,run pull press crunch push curl curl run
181,Exercise_181_press,Shoulders,Intermediate,22,934,none,hold curl crunch row row push row press
182,Exercise_182_press,Arms,Intermediate,37,1179,none,hold row pull crunch push row run push
183,Exercise_183_push,Full Body,Intermediate,22,111,machine,row squat press press press lift curl run
184,Exercise_184_row,Cardio,Advanced,82,130,machine,press curl push lift press push push press
185,Exercise_185_press,Full Body,Intermediate,86,582,kettlebell,curl crunch pull run run row curl hold
186,Exercise_186_press,Full Body,Beginner,93,1439,none,jump hold jump row push press pull pull
187,Exercise_187_hold,Cardio,Advanced,73,664,barbell,lift press push pull push lift pull curl
188,Exercise_188_lift,Cardio,Intermediate,35,577,machine,jump run squat pull press press jump crunch
189,Exercise_189_push,Full Body,Advanced,16,987,dumbbell,pull curl jump run jump curl press hold
190,Exercise_190_pull,Full Body,Intermediate,56,261,bodyweight,curl jump curl row pull pull jump curl
191,Exercise_191_press,Back,Advanced,41,231,dumbbell,curl hold row row push squat crunch squat
192,Exercise_192_push,Cardio,Intermediate,1,1079,none,push squat press squat crunch lift jump jump
193,Exercise_193_row,Core,Intermediate,16,667,dumbbell,jump pull push row push hold push press
194,Exercise_194_crunch,Full Body,Advanced,57,970,none,push row run lift lift press lift press
195,Exercise_195_run,Legs,Intermediate,51,1079,barbell,run press pull push pull crunch lift press
196,Exercise_196_press,Back,Beginner,54,643,barbell,press lift hold squat pull press jump lift
197,Exercise_197_press,Legs,Intermediate,46,537,resistance band,press push hold jump press press press run
198,Exercise_198_crunch,Cardio,Intermediate,69,311,kettlebell,jump row run lift run lift push squat
199,Exercise_199_push,Arms,Beginner,11,19,resistance band,press jump squat push crunch lift jump pull
200,Exercise_200_squat,Arms,Intermediate,103,540,barbell,jump press hold hold push press hold jump
201,Exercise_201_curl,Chest,Advanced,63,801,kettlebell,squat press hold push lift crunch push crunch
202,Exercise_202_jump,Chest,Intermediate,107,548,none,hold press press press press pull row push
203,Exercise_203_squat,Arms,Advanced,26,1242,bodyweight,run pull hold press row squat run squat
204,Exercise_204_row,Full Body,Beginner,44,993,barbell,curl row hold push curl crunch push lift
205,Exercise_205_curl,Arms,Beginner,80,737,bodyweight,row jump curl squat curl hold lift run
206,Exercise_206_squat,Shoulders,Beginner,99,571,resistance band,pull run jump hold lift push jump row
207,Exercise_207_press,Arms,Advanced,4,656,bodyweight,press press row pull jump jump squat press
208,Exercise_208_curl,Shoulders,Intermediate,30,700,none,press run crunch push pull press crunch crunch
209,Exercise_209_row,Cardio,Beginner,68,645,resistance band,row push pull crunch squat press pull press
210,Exercise_210_press,Arms,Advanced,59,993,bodyweight,squat row press row row curl run curl
211,Exercise_211_crunch,Legs,Advanced,58,1398,bodyweight,row hold press crunch lift push push jump
212,Exercise_212_push,Chest,Advanced,66,449,machine,push curl crunch run pull lift push lift
213,Exercise_213_press,Full Body,Beginner,102,1017,bodyweight,curl crunch press squat lift press row curl
214,Exercise_214_push,Back,Beginner,57,433,machine,jump crunch lift press jump push push push
215,Exercise_215_squat,Full Body,Advanced,86,1425,machine,pull jump jump push press press press hold
216,Exercise_216_push,Shoulders,Advanced,72,1279,resistance band,hold press press press press hold squat run
217,Exercise_217_row,Legs,Beginner,1,33,bodyweight,hold crunch jump curl row jump squat lift
218,Exercise_218_press,Cardio,Advanced,107,389,machine,press curl hold press jump hold press pull
219,Exercise_219_lift,Shoulders,Advanced,8,1499,dumbbell,curl pull push curl crunch row push hold
220,Exercise_220_curl,Legs,Advanced,62,616,none,press row press press pull run jump run
221,Exercise_221_curl,Back,Advanced,20,726,bodyweight,run curl press press push run hold press
222,Exercise_222_lift,Back,Intermediate,119,1033,bodyweight,push hold curl hold hold row squat lift
223,Exercise_223_squat,Shoulders,Advanced,42,378,barbell,row row row squat push row run pull
224,Exercise_224_row,Legs,Intermediate,12,762,kettlebell,crunch press curl pull press pull squat press
225,Exercise_225_jump,Core,Beginner,58,328,machine,press crunch hold pull push hold row press
226,Exercise_226_curl,Full Body,Advanced,49,463,kettlebell,crunch press run press squat press press run
227,Exercise_227_pull,Arms,Intermediate,83,218,none,curl lift press squat squat crunch jump run
228,Exercise_228_press,Cardio,Intermediate,42,609,barbell,press lift lift press lift row jump pull
229,Exercise_229_pull,Back,Advanced,105,105,dumbbell,pull jump lift lift push squat press pull
230,Exercise_230_hold,Back,Beginner,27,386,resistance band,press curl press hold press press press pull
231,Exercise_231_curl,Chest,Beginner,39,1102,machine,press pull run lift curl row run press
232,Exercise_232_curl,Chest,Beginner,25,431,kettlebell,hold curl press press hold row hold curl
233,Exercise_233_pull,Back,Beginner,48,904,barbell,lift hold curl run squat row press jump
234,Exercise_234_press,Shoulders,Intermediate,55,144,bodyweight,squat press press press jump curl jump press
235,Exercise_235_crunch,Chest,Advanced,1,941,machine,hold run run lift run pull pull squat
236,Exercise_236_squat,Shoulders,Intermediate,54,372,kettlebell,lift press press push run row jump row
237,Exercise_237_row,Back,Advanced,32,772,machine,press hold press press run push push curl
238,Exercise_238_squat,Legs,Intermediate,67,1075,machine,crunch jump press squat run squat lift curl
239,Exercise_239_lift,Core,Intermediate,39,524,machine,pull lift hold pull curl curl run hold
240,Exercise_240_lift,Full Body,Advanced,107,664,dumbbell,press press pull hold press press pull hold
241,Exercise_241_jump,Legs,Advanced,28,1493,barbell,push crunch push press curl hold run push
242,Exercise_242_press,Chest,Beginner,3,907,none,press pull press crunch squat squat jump lift
243,Exercise_243_pull,Legs,Beginner,20,528,resistance band,run push press push lift crunch run pull
244,Exercise_244_crunch,Chest,Intermediate,76,515,dumbbell,lift hold press row jump press lift row
245,Exercise_245_curl,Legs,Beginner,4,793,resistance band,pull squat squat pull lift crunch push squat
246,Exercise_246_press,Legs,Intermediate,17,343,kettlebell,press squat pull press press press pull run
247,Exercise_247_press,Back,Intermediate,83,617,dumbbell,curl crunch hold curl jump hold crunch lift
248,Exercise_248_run,Cardio,Advanced,92,1386,dumbbell,squat squat hold row crunch press curl pull
249,Exercise_249_push,Back,Advanced,106,1167,kettlebell,row press row press row row curl curl
250,Exercise_250_crunch,Arms,Beginner,23,4,bodyweight,crunch run push pull row row press hold
251,Exercise_251_run,Shoulders,Intermediate,28,527,barbell,row press push squat push push press curl
252,Exercise_252_hold,Shoulders,Advanced,8,151,resistance band,run press jump curl press press press pull
253,Exercise_253_jump,Arms,Intermediate,1,94,machine,hold squat push press pull press curl row
254,Exercise_254_lift,Arms,Beginner,20,491,none,row row squat row hold press squat press
255,Exercise_255_jump,Shoulders,Beginner,85,1397,dumbbell,lift row pull crunch run curl press crunch
256,Exercise_256_lift,Back,Intermediate,24,1382,bodyweight,pull press run pull pull press press row
257,Exercise_257_crunch,Chest,Beginner,10,319,none,lift lift squat row curl pull press pull
258,Exercise_258_run,Shoulders,Advanced,71,688,machine,crunch jump pull pull run press jump press
259,Exercise_259_crunch,Chest,Beginner,58,842,dumbbell,run curl curl press squat squat squat press
260,Exercise_260_run,Legs,Advanced,82,615,none,press jump run hold jump jump run push
261,Exercise_261_jump,Chest,Intermediate,99,120,bodyweight,pull press lift crunch squat hold run hold
262,Exercise_262_press,Cardio,Beginner,34,930,barbell,curl hold jump press press press squat squat
263,Exercise_263_row,Core,Advanced,37,799,kettlebell,jump press pull curl press push crunch press
264,Exercise_264_pull,Full Body,Intermediate,71,426,barbell,hold lift jump jump squat lift press curl
265,Exercise_265_curl,Back,Intermediate,79,349,resistance band,squat jump row press crunch jump hold jump
266,Exercise_266_jump,Back,Beginner,119,109,dumbbell,run press curl lift row jump row curl
267,Exercise_267_pull,Full Body,Advanced,99,1360,resistance band,press curl push lift jump push hold row
268,Exercise_268_pull,Shoulders,Advanced,5,1024,kettlebell,squat run jump press jump press press row
269,Exercise_269_jump,Chest,Beginner,31,1289,machine,jump press pull jump run push row row
270,Exercise_270_press,Full Body,Intermediate,64,1311,none,pull push press hold squat press squat lift
271,Exercise_271_press,Legs,Intermediate,10,322,barbell,pull jump crunch hold lift curl lift press
272,Exercise_272_crunch,Back,Intermediate,24,684,none,press press curl pull run push push push
273,Exercise_273_hold,Legs,Beginner,69,462,resistance band,jump hold squat press pull press row run
274,Exercise_274_hold,Arms,Advanced,117,141,none,press pull crunch pull row squat crunch lift
275,Exercise_275_hold,Shoulders,Intermediate,50,1426,resistance band,press pull jump press press press press row
276,Exercise_276_pull,Chest,Advanced,30,842,dumbbell,hold jump run push press jump hold press
277,Exercise_277_run,Full Body,Intermediate,87,156,bodyweight,pull press push run jump squat press push
278,Exercise_278_press,Chest,Advanced,81,395,resistance band,push hold jump crunch push lift jump crunch
279,Exercise_279_row,Cardio,Intermediate,85,141,barbell,press jump pull jump squat curl push row
280,Exercise_280_jump,Shoulders,Intermediate,17,1074,dumbbell,hold press curl pull run curl row jump
281,Exercise_281_lift,Arms,Beginner,106,701,barbell,run press hold curl press crunch squat row
282,Exercise_282_press,Cardio,Beginner,118,1439,none,crunch squat row row row hold press push
283,Exercise_283_squat,Chest,Beginner,63,475,kettlebell,hold curl hold squat run curl jump crunch
284,Exercise_284_curl,Chest,Beginner,95,651,dumbbell,lift lift push run jump row jump pull
285,Exercise_285_squat,Full Body,Advanced,77,1248,kettlebell,hold crunch hold hold squat pull press run
286,Exercise_286_pull,Legs,Beginner,41,605,kettlebell,press lift crunch push curl lift hold press
287,Exercise_287_press,Cardio,Advanced,38,140,resistance band,row press press hold crunch hold press hold
288,Exercise_288_push,Shoulders,Beginner,80,1020,none,squat push squat crunch crunch run press curl
289,Exercise_289_crunch,Cardio,Intermediate,46,1135,kettlebell,curl squat press press jump squat crunch curl
290,Exercise_290_row,Core,Advanced,10,1397,kettlebell,press lift jump pull jump crunch hold squat
291,Exercise_291_row,Cardio,Advanced,18,1080,resistance band,lift push lift row hold row lift press
292,Exercise_292_squat,Shoulders,Intermediate,27,539,barbell,crunch curl press pull squat row run push
293,Exercise_293_press,Core,Intermediate,114,1185,none,pull squat press row crunch squat push row
294,Exercise_294_hold,Back,Advanced,32,965,none,jump curl jump curl lift curl run squat
295,Exercise_295_push,Legs,Intermediate,29,306,barbell,lift lift run curl press row squat row
296,Exercise_296_hold,Full Body,Advanced,87,523,bodyweight,row lift press jump squat curl lift hold
297,Exercise_297_press,Core,Beginner,40,129,resistance band,push lift lift push hold jump press run
298,Exercise_298_curl,Chest,Advanced,54,244,resistance band,crunch squat hold press jump squat pull run
299,Exercise_299_row,Chest,Advanced,58,1226,barbell,run jump row press run squat curl push
300,Exercise_300_squat,Chest,Advanced,98,1019,barbell,jump crunch lift squat hold run lift hold
301,Exercise_301_hold,Core,Intermediate,96,879,kettlebell,hold lift jump lift push curl pull curl
302,Exercise_302_row,Arms,Advanced,25,137,machine,run press push row curl crunch row hold
303,Exercise_303_hold,Arms,Beginner,73,200,none,hold pull hold jump run row squat row
304,Exercise_304_row,Cardio,Intermediate,4,1440,machine,push push hold squat press jump press press
305,Exercise_305_jump,Shoulders,Beginner,35,219,barbell,curl crunch lift press push run curl jump
306,Exercise_306_push,Core,Beginner,58,145,machine,hold squat hold pull press push lift hold
307,Exercise_307_run,Shoulders,Intermediate,101,88,resistance band,pull jump push press curl row squat crunch
308,Exercise_308_run,Core,Beginner,55,941,barbell,crunch jump jump run curl curl jump press
309,Exercise_309_lift,Legs,Beginner,4,615,kettlebell,push row press run jump hold hold lift
310,Exercise_310_lift,Back,Intermediate,64,1009,none,run hold pull curl hold jump crunch crunch
311,Exercise_311_press,Full Body,Intermediate,45,1393,barbell,press crunch run hold push squat curl push
312,Exercise_312_hold,Chest,Intermediate,20,218,resistance band,lift pull curl squat run lift curl push
313,Exercise_313_jump,Arms,Advanced,49,265,dumbbell,jump push row jump run press press press
